zeit,durchlauf,seed,score,zuege_pro_s,run_id,config
10:21:15,3,37,128.7,9946.1,dqn-20260725-101114,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 0.5, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99}"
10:31:17,3,37,131.55,11210.6,dqn-20260725-102116,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""batch_size"": 128}"
10:41:20,3,37,152.45,8010.0,dqn-20260725-103118,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""batch_size"": 512}"
10:51:22,3,37,135.25,7765.5,dqn-20260725-104121,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""batch_size"": 512, ""reward_death"": -20.0}"
11:01:23,3,37,126.7,7724.5,dqn-20260725-105122,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""batch_size"": 512, ""reward_step"": 0.0}"
11:11:25,3,37,128.6,7479.7,dqn-20260725-110124,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""batch_size"": 512, ""learning_rate"": 0.0005}"
11:21:27,3,37,129.4,8098.7,dqn-20260725-111126,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.99, ""batch_size"": 512, ""learning_rate"": 0.002}"
11:31:30,3,37,140.85,7954.9,dqn-20260725-112128,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.0, ""gamma"": 0.99, ""batch_size"": 512}"
11:41:32,3,37,138.6,7719.5,dqn-20260725-113130,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.25, ""gamma"": 0.99, ""batch_size"": 512}"
11:51:34,3,37,130.25,7878.5,dqn-20260725-114133,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.5, ""gamma"": 0.99, ""batch_size"": 512}"
12:01:36,3,37,76.6,8633.5,dqn-20260725-115135,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 1.0, ""gamma"": 0.99, ""batch_size"": 512}"
12:11:38,3,37,114.15,7940.1,dqn-20260725-120137,"{""perception"": ""rich_grid9"", ""spiegel_lernen"": false, ""fruit_count"": 10, ""target_update"": 500, ""curriculum_anteil"": 1.0, ""n_step"": 5, ""pfad_fokus"": 0.7, ""gamma"": 0.95, ""batch_size"": 512}"
